,mpg,cylinders,model year,origin,weight discrete,Displacement2,acceleration,horsepower
302,34.5,4,79,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
303,31.8,4,79,3,between 1964 and 2316,between 67 and 105,between 19 and 20,between 63 and 81
304,37.3,4,79,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
305,28.4,4,79,1,between 2668 and 3020,between 143 and 181,between 15 and 16,between 81 and 99
306,28.8,6,79,1,between 2316 and 2668,between 143 and 181,between 11 and 12,between 99 and 117
307,26.8,6,79,1,between 2668 and 3020,between 143 and 181,between 12 and 13,between 99 and 117
308,33.5,4,79,1,between 2316 and 2668,between 143 and 181,between 13 and 14,between 81 and 99
309,41.5,4,80,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
310,38.1,4,80,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 45 and 63
311,32.1,4,80,1,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
312,37.2,4,80,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
313,28.0,4,80,1,between 2668 and 3020,between 143 and 181,between 16 and 17,between 81 and 99
314,26.4,4,80,1,between 2668 and 3020,between 105 and 143,between 18 and 19,between 81 and 99
315,24.3,4,80,1,between 2668 and 3020,between 143 and 181,between 20 and 21,between 81 and 99
316,19.1,6,80,1,between 3372 and 3724,between 219 and 257,between 18 and 19,between 81 and 99
317,34.3,4,80,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
318,29.8,4,80,3,between 2668 and 3020,between 105 and 143,between 15 and 16,between 81 and 99
319,31.3,4,80,3,between 2316 and 2668,between 105 and 143,between 17 and 18,between 63 and 81
320,37.0,4,80,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 81 and 99
321,32.2,4,80,3,between 1964 and 2316,between 105 and 143,between 15 and 16,between 63 and 81
322,46.6,4,80,3,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
323,27.9,4,80,1,between 2668 and 3020,between 143 and 181,between 14 and 15,between 99 and 117
324,40.8,4,80,3,between 1964 and 2316,between 67 and 105,between 19 and 20,between 63 and 81
325,44.3,4,80,2,between 1964 and 2316,between 67 and 105,between 21 and 22,between 45 and 63
326,43.4,4,80,2,between 2316 and 2668,between 67 and 105,between 23 and 25,between 45 and 63
327,36.4,5,80,2,between 2668 and 3020,between 105 and 143,between 19 and 20,between 63 and 81
328,30.0,4,80,2,between 3020 and 3372,between 143 and 181,between 21 and 22,between 63 and 81
329,44.6,4,80,3,between 1612 and 1964,between 67 and 105,between 13 and 14,between 63 and 81
330,40.9,4,80,2,between 1612 and 1964,between 67 and 105,between 17 and 18,between 63 and 81
331,33.8,4,80,3,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
332,29.8,4,80,2,between 1612 and 1964,between 67 and 105,between 15 and 16,between 45 and 63
333,32.7,6,80,3,between 2668 and 3020,between 143 and 181,between 11 and 12,between 117 and 135
334,23.7,3,80,3,between 2316 and 2668,between 67 and 105,between 12 and 13,between 99 and 117
335,35.0,4,80,2,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
336,23.6,4,80,1,between 2668 and 3020,between 105 and 143,between 14 and 15,between 81 and 99
337,32.4,4,80,3,between 1964 and 2316,between 105 and 143,between 16 and 17,between 63 and 81
338,27.2,4,81,1,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
339,26.6,4,81,1,between 2316 and 2668,between 143 and 181,between 16 and 17,between 81 and 99
340,25.8,4,81,1,between 2316 and 2668,between 143 and 181,between 14 and 15,between 81 and 99
341,23.5,6,81,1,between 2668 and 3020,between 143 and 181,between 12 and 13,between 99 and 117
342,30.0,4,81,1,between 2316 and 2668,between 105 and 143,between 12 and 13,between 81 and 99
343,39.1,4,81,3,between 1612 and 1964,between 67 and 105,between 16 and 17,between 45 and 63
344,39.0,4,81,1,between 1612 and 1964,between 67 and 105,between 16 and 17,between 63 and 81
345,35.1,4,81,3,between 1612 and 1964,between 67 and 105,between 16 and 17,between 45 and 63
346,32.3,4,81,3,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
347,37.0,4,81,3,between 1964 and 2316,between 67 and 105,between 19 and 20,between 63 and 81
348,37.7,4,81,3,between 1964 and 2316,between 67 and 105,between 17 and 18,between 45 and 63
349,34.1,4,81,3,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
350,34.7,4,81,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 45 and 63
351,34.4,4,81,1,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
352,29.9,4,81,1,between 2316 and 2668,between 67 and 105,between 20 and 21,between 63 and 81
353,33.0,4,81,2,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
354,34.5,4,81,2,between 2316 and 2668,between 67 and 105,between 15 and 16,between 63 and 81
355,33.7,4,81,3,between 1964 and 2316,between 105 and 143,between 14 and 15,between 63 and 81
356,32.4,4,81,3,between 2316 and 2668,between 105 and 143,between 16 and 17,between 63 and 81
357,32.9,4,81,3,between 2316 and 2668,between 105 and 143,between 14 and 15,between 99 and 117
358,31.6,4,81,3,between 2316 and 2668,between 105 and 143,between 18 and 19,between 63 and 81
359,28.1,4,81,2,between 3020 and 3372,between 105 and 143,between 20 and 21,between 63 and 81
360,30.7,6,81,2,between 3020 and 3372,between 143 and 181,between 19 and 20,between 63 and 81
361,25.4,6,81,3,between 2668 and 3020,between 143 and 181,between 12 and 13,between 99 and 117
362,24.2,6,81,3,between 2668 and 3020,between 143 and 181,between 13 and 14,between 117 and 135
363,22.4,6,81,1,between 3372 and 3724,between 219 and 257,between 15 and 16,between 99 and 117
364,26.6,8,81,1,between 3724 and 4076,between 333 and 371,between 18 and 19,between 99 and 117
365,20.2,6,81,1,between 3020 and 3372,between 181 and 219,between 17 and 18,between 81 and 99
366,17.6,6,81,1,between 3372 and 3724,between 219 and 257,between 16 and 17,between 81 and 99
367,28.0,4,82,1,between 2316 and 2668,between 105 and 143,between 19 and 20,between 81 and 99
368,27.0,4,82,1,between 2316 and 2668,between 105 and 143,between 18 and 19,between 81 and 99
369,34.0,4,82,1,between 2316 and 2668,between 105 and 143,between 17 and 18,between 81 and 99
370,31.0,4,82,1,between 2316 and 2668,between 105 and 143,between 16 and 17,between 81 and 99
371,29.0,4,82,1,between 2316 and 2668,between 105 and 143,between 15 and 16,between 81 and 99
372,27.0,4,82,1,between 2668 and 3020,between 143 and 181,between 17 and 18,between 81 and 99
373,24.0,4,82,1,between 2668 and 3020,between 105 and 143,between 16 and 17,between 81 and 99
374,23.0,4,82,1,between 3020 and 3372,between 143 and 181,between 20 and 21,between 81 and 99
375,36.0,4,82,2,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
376,37.0,4,82,3,between 1964 and 2316,between 67 and 105,between 18 and 19,between 63 and 81
377,31.0,4,82,3,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
378,38.0,4,82,1,between 1964 and 2316,between 67 and 105,between 14 and 15,between 45 and 63
379,36.0,4,82,1,between 1964 and 2316,between 67 and 105,between 17 and 18,between 63 and 81
380,36.0,4,82,3,between 1964 and 2316,between 105 and 143,between 14 and 15,between 81 and 99
381,36.0,4,82,3,between 1964 and 2316,between 105 and 143,between 14 and 15,between 63 and 81
382,34.0,4,82,3,between 1964 and 2316,between 105 and 143,between 16 and 17,between 63 and 81
383,38.0,4,82,3,between 1964 and 2316,between 67 and 105,between 14 and 15,between 63 and 81
384,32.0,4,82,3,between 1964 and 2316,between 67 and 105,between 15 and 16,between 63 and 81
385,38.0,4,82,3,between 1964 and 2316,between 67 and 105,between 16 and 17,between 63 and 81
386,25.0,6,82,1,between 2668 and 3020,between 143 and 181,between 16 and 17,between 99 and 117
387,38.0,6,82,1,between 2668 and 3020,between 257 and 295,between 16 and 17,between 81 and 99
388,26.0,4,82,1,between 2316 and 2668,between 143 and 181,between 14 and 15,between 81 and 99
389,22.0,6,82,1,between 2668 and 3020,between 219 and 257,between 14 and 15,between 99 and 117
390,32.0,4,82,3,between 2316 and 2668,between 143 and 181,between 13 and 14,between 81 and 99
391,36.0,4,82,1,between 2316 and 2668,between 105 and 143,between 12 and 13,between 81 and 99
392,27.0,4,82,1,between 2668 and 3020,between 143 and 181,between 17 and 18,between 81 and 99
393,27.0,4,82,1,between 2668 and 3020,between 105 and 143,between 15 and 16,between 81 and 99
394,44.0,4,82,2,between 1964 and 2316,between 67 and 105,between 23 and 25,between 45 and 63
395,32.0,4,82,1,between 1964 and 2316,between 105 and 143,between 11 and 12,between 81 and 99
396,28.0,4,82,1,between 2316 and 2668,between 105 and 143,between 18 and 19,between 63 and 81
397,31.0,4,82,1,between 2668 and 3020,between 105 and 143,between 19 and 20,between 81 and 99
